Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Lucy Chieng Aged Care Centre,8-14 Romani Avenue,HURSTVILLE,NSW,2220,South East Sydney,Residential,70,0,0,Australian Nursing Home Foundation Limited,Charitable,Major Cities of Australia,1,11368,Hurstville,11903,Hurstville,Georges River,12930,PHN101,Central and Eastern Sydney,-33.958485,151.107869999999
Bupa Sutherland,42 Auburn Street,SUTHERLAND,NSW,2232,South East Sydney,Residential,144,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11538,Sutherland - Kirrawee,12802,Sutherland - Menai - Heathcote,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.030614,151.066237
Uniting Elanora Shellharbour,7-23 Wallaroo Drive,SHELLHARBOUR CITY CENTRE,NSW,2529,Illawarra,Residential,100,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11142,Shellharbour - Oak Flats,10703,Kiama - Shellharbour,Shellharbour,16900,PHN106,South Eastern NSW,-34.56734,150.839721999999
Uniting Mingaletta Port Macquarie,7 Sherwood Road,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,110,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11164,Port Macquarie - West,10804,Port Macquarie,Port Macquarie-Hastings,16380,PHN109,North Coast,-31.448893,152.877535999999
Uniting Pacifica Nambucca Heads,15 Short Street,NAMBUCCA HEADS,NSW,2448,Mid North Coast,Residential,86,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,4,11158,Nambucca Heads,10802,Kempsey - Nambucca,Nambucca Valley,15700,PHN109,North Coast,-30.641105,153.005219
SummitCare Wallsend,7 Bent Street,WALLSEND,NSW,2287,Hunter,Residential,142,0,0,Stelcom Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11233,Wallsend - Elermore Vale,11103,Newcastle,Newcastle,15900,PHN108,Hunter New England and Central Coast,-32.904977,151.676745
Advantaged Care at Georges Manor,111 Bellevue Avenue,GEORGES HALL,NSW,2198,South West Sydney,Residential,143,0,0,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11354,Bass Hill - Georges Hall,11901,Bankstown,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.91132,150.996195
Bupa Pottsville Beach,41-51 Ballina Street,POTTSVILLE,NSW,2489,Far North Coast,Residential,154,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11253,Pottsville,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.386603,153.554081999999
HNELHD Transitional Aged Care Program,"Tamworth Community Health, - JOHNSTON STREET",TAMWORTH,NSW,2340,New England,Transition Care,0,0,189,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,3,11203,Tamworth - North,11004,Tamworth - Gunnedah,Tamworth,17310,PHN108,Hunter New England and Central Coast,-31.075123,150.922237999999
Uniting Arrunga Ermington,334-342 Kissing Point Road,ERMINGTON,NSW,2115,Western Sydney,Residential,101,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11477,Ermington - Rydalmere,12502,Carlingford,Parramatta,16260,PHN103,Western Sydney,-33.8053549999999,151.059557
Wami Kata Old Folks Home,13  ARTLETT AVENUE,PORT AUGUSTA,SA,5700,Flinders & Far North,National Aboriginal and Torres Strait Islander Aged Care Program,32,5,0,Wami Kata Old Folks Home Inc,Community Based,Outer Regional Australia,4,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.502951,137.773530999999
Aboriginal Elders Village,2 Oldford Street,DAVOREN PARK,SA,5113,Metropolitan North,National Aboriginal and Torres Strait Islander Aged Care Program,33,0,0,Aboriginal Elders & Community Care Services Inc,Community Based,Major Cities of Australia,1,41029,Davoren Park,40202,Playford,Playford,45680,PHN401,Adelaide,-34.6974719999999,138.664962
Seaview Village Aged Care Service,80 Seaview Terrace,THEVENARD,SA,5690,Eyre Peninsula,National Aboriginal and Torres Strait Islander Aged Care Program,9,7,0,Yadu Health Aboriginal Corporation,Community Based,Very Remote Australia,7,41129,Ceduna,40601,Eyre Peninsula and South West,Ceduna,41010,PHN402,Country SA,-32.14128,133.662532999999
Umoona Aged Care,Lot 89 Hospital Road,COOBER PEDY,SA,5723,Flinders & Far North,National Aboriginal and Torres Strait Islander Aged Care Program,20,2,0,Umoona Aged Care Aboriginal Corp.,Community Based,Very Remote Australia,7,41139,Coober Pedy,40602,Outback - North and East,Coober Pedy,41330,PHN402,Country SA,-28.996665,134.761613
Tjilpiku Pampaku Ngura Aged Care Service,21-25 Tjilpi Pampa Street,PUKATJA,SA,872,Flinders & Far North,National Aboriginal and Torres Strait Islander Aged Care Program,14,20,0,Aboriginal Elders & Community Care Services Inc,Community Based,Very Remote Australia,7,41138,APY Lands,40602,Outback - North and East,Anangu Pitjantjatjara Yankunytja,40250,PHN402,Country SA,-26.4662989999999,132.041759
Tullawon Aged Care,"TULLAWON SQUARE, Via Ceduna",YALATA,SA,5690,Eyre Peninsula,National Aboriginal and Torres Strait Islander Aged Care Program,0,52,0,Tullawon Health Service Inc,Community Based,Very Remote Australia,7,41134,West Coast (SA),40601,Eyre Peninsula and South West,Unincorporated SA,49399,PHN402,Country SA,-31.481271,131.842189999999
Kungkarrangkalpa Aged Care Service,"LEVEL 12, 221 ST GEORGES TERRACE",PERTH,WA,6000,Metropolitan East,National Aboriginal and Torres Strait Islander Aged Care Program,21,50,0,Ngaanyatjarra Health Service (Aboriginal Corporation),Charitable,Major Cities of Australia,1,51041,Perth City,50302,Perth City,Perth,57080,PHN501,Perth North,-31.953861,115.85205
Injilinji Aged Care Service,8 Thomson Road,MT ISA,QLD,4825,North West,National Aboriginal and Torres Strait Islander Aged Care Program,12,8,0,Injilinji Aboriginal and Torres Strait Islander Corp for Children & Youth,Community Based,Remote Australia,6,31405,Mount Isa,31502,Outback - North,Mount Isa,35300,PHN305,Western Queensland,-20.743379,139.498403999999
Uniting Amala Gordon ACT,200 Woodcock Drive,GORDON,ACT,2906,ACT,Residential,122,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,81078,Gordon (ACT),80107,Tuggeranong,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.456364,149.088887
Flinders Island Aged Care Service,16 West Street,LADY BARRON,TAS,7255,Northern,National Aboriginal and Torres Strait Islander Aged Care Program,0,13,0,Flinders Island Aboriginal Association Inc,Charitable,Very Remote Australia,7,61099,Flinders and Cape Barren Islands,60203,North East,Flinders (Tas.),62010,PHN601,Tasmania,-40.2095849999999,148.237784
Cape Barren Aged Care,1 The Esplanade,CAPE BARREN ISLAND,TAS,7257,Northern,National Aboriginal and Torres Strait Islander Aged Care Program,0,4,0,Cape Barren Island Aboriginal Association Incorporated,Community Based,Very Remote Australia,7,61099,Flinders and Cape Barren Islands,60203,North East,Flinders (Tas.),62010,PHN601,Tasmania,-40.3731239999999,148.030998
Georgina Margaret Davidson-Thompson Hostel,694 Wynnum Road,MORNINGSIDE,QLD,4170,Brisbane South,National Aboriginal and Torres Strait Islander Aged Care Program,24,0,0,Winnam Aboriginal & Torres Strait Islander Corporation,Community Based,Major Cities of Australia,1,31117,Morningside - Seven Hills,30502,Brisbane Inner - East,Brisbane,31000,PHN302,Brisbane South,-27.4663679999999,153.073928999999
Mungkadinamanja Flexible Aged and Disability Service (Angurugu - Groote Eylandt),Lot 489 Angurugu Access,ANGURUGU,NT,880,East Arnhem,National Aboriginal and Torres Strait Islander Aged Care Program,0,12,0,East Arnhem Regional Council,Local Government,Very Remote Australia,7,71062,Anindilyakwa,70204,East Arnhem,East Arnhem,71300,PHN701,Northern Territory,-13.976889,136.457589
Anmatjere Flexible Aged Care Service (Ti Tree),26  PALMER STREET,TI TREE,NT,872,Alice Springs,National Aboriginal and Torres Strait Islander Aged Care Program,0,22,0,Central Desert Regional Council,Local Government,Very Remote Australia,7,71054,Yuendumu - Anmatjere,70201,Alice Springs,Central Desert,70620,PHN701,Northern Territory,-22.127935,133.419767
Tjilpi Pampaku Ngura Aged Care Service,PMB 40 Docker River Community Access,DOCKER RIVER,NT,872,Alice Springs,National Aboriginal and Torres Strait Islander Aged Care Program,19,60,0,Australian Regional and Remote Community Services Limited,Charitable,Very Remote Australia,7,71050,Petermann - Simpson,70201,Alice Springs,MacDonnell,72330,PHN701,Northern Territory,-24.874167,129.083610999999
Malala Flexible Aged Care Service (Maningrida),Lot 619 Main Street,MANINGRIDA,NT,822,Darwin,National Aboriginal and Torres Strait Islander Aged Care Program,11,1,0,MALA'LA HEALTH SERVICE ABORIGINAL CORPORATION,Community Based,Very Remote Australia,7,71061,West Arnhem,70203,Daly - Tiwi - West Arnhem,West Arnhem,74660,PHN701,Northern Territory,-12.051912,134.22173
Kalkarindji Flexible Aged Care Service (Kalkarindji),Lot 86 Janama Street,KALKARINDJI,NT,852,Katherine,National Aboriginal and Torres Strait Islander Aged Care Program,0,10,0,Victoria Daly Regional Council,Local Government,Very Remote Australia,7,71068,Victoria River,70205,Katherine,Victoria Daly,74550,PHN701,Northern Territory,-17.444965,130.827875
Timber Creek Flexible Aged Care Service,Tracker Gorge -,TIMBER CREEK,NT,852,Katherine,National Aboriginal and Torres Strait Islander Aged Care Program,0,10,0,Victoria Daly Regional Council,Local Government,Very Remote Australia,7,71068,Victoria River,70205,Katherine,Victoria Daly,74550,PHN701,Northern Territory,-15.65405,130.410279
Mulakunya Flexible Aged Care Service (Nguiu),790 Kerinauia Highway,NGUIU,NT,822,Darwin,National Aboriginal and Torres Strait Islander Aged Care Program,22,35,0,Calvary Home Care Services Limited,Religious,Remote Australia,7,71060,Tiwi Islands,70203,Daly - Tiwi - West Arnhem,Tiwi Islands,74050,PHN701,Northern Territory,-11.75862,130.632913
Baralaba Multi-Purpose Service,1 STOPFORD Street,BARALABA,QLD,4702,Fitzroy,Multi-Purpose Service,4,1,0,Queensland Health,State Government,Outer Regional Australia,5,31528,Banana,30804,Biloela,Banana,30370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-24.17978,149.812029999999
Biggenden Multi-Purpose Service,57 Alice Street,BIGGENDEN,QLD,4621,Wide Bay,Multi-Purpose Service,11,4,0,Queensland Health,State Government,Outer Regional Australia,5,31503,Gayndah - Mundubbera,31902,Burnett,North Burnett,35760,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.505914,152.051145999999
Blackwater Multi-Purpose Service,41 MACKENZIE STREET -,BLACKWATER,QLD,4717,Fitzroy,Multi-Purpose Service,4,4,0,Queensland Health,State Government,Outer Regional Australia,5,31190,Central Highlands - East,30801,Central Highlands (Qld),Central Highlands (Qld),32270,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.5753519999999,148.878818999999
Eidsvold Multi-Purpose Service,115 Cracow Road,EIDSVOLD,QLD,4627,Wide Bay,Multi-Purpose Service,7,1,0,Queensland Health,State Government,Outer Regional Australia,5,31508,Monto - Eidsvold,31902,Burnett,North Burnett,35760,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.368122,151.050181
Weipa Multi-Purpose Service,407 John Evans Drive,WEIPA,QLD,4874,Far North,Multi-Purpose Service,12,2,0,Queensland Health,State Government,Very Remote Australia,7,31403,Weipa,31501,Far North,Weipa,37300,PHN307,Northern Queensland,-12.64093,141.864306999999
Toowoomba Transition Care Service,Pechey Street,TOOWOOMBA,QLD,4350,Darling Downs,Transition Care,0,0,52,Queensland Health,State Government,Inner Regional Australia,2,31456,Toowoomba - Central,31701,Toowoomba,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.570847,151.944104
West Moreton Transition Care,"LEVEL 3, 37 SOUTH STREET",IPSWICH,QLD,4305,West Moreton,Transition Care,0,0,40,Queensland Health,State Government,Major Cities of Australia,1,31286,Ipswich - Central,31003,Ipswich Inner,Ipswich,33960,PHN304,Darling Downs and West Moreton,-27.6162209999999,152.760068999999
Metro North Transition Care Service,"Eventide Dolphin House, 449 Beaconsfield Terrace",BRIGHTON,QLD,4017,Brisbane North,Transition Care,0,0,148,Queensland Health,State Government,Major Cities of Australia,1,31042,Brighton (Qld),30204,Sandgate,Brisbane,31000,PHN301,Brisbane North,-27.289839,153.063599
Central Queensland Transition Care Service,"Rockhampton Hospital Canning Street, Norman Road",ROCKHAMPTON,QLD,4700,Fitzroy,Transition Care,0,0,32,Queensland Health,State Government,Inner Regional Australia,2,31216,Rockhampton - West,30803,Rockhampton,Rockhampton,36370,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-23.3793979999999,150.491906999999
Sunshine Coast Transition Care Unit,Hospital Road,NAMBOUR,QLD,4560,Sunshine Coast,Transition Care,0,0,71,Queensland Health,State Government,Major Cities of Australia,1,31548,Nambour,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.6231,152.954913
Mackay Transition Care Service,12 Nelson Street,MACKAY,QLD,4740,Mackay,Transition Care,0,0,25,Queensland Health,State Government,Inner Regional Australia,2,31346,Mackay,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.1422309999999,149.181916
Tasmania (North) Transition Care Program,280 Charles Street,LAUNCESTON,TAS,7250,Northern,Transition Care,0,0,34,Tasmanian Health Service,State Government,Inner Regional Australia,2,61038,Launceston,60201,Launceston,Launceston,64010,PHN601,Tasmania,-41.4469059999999,147.141734
Tasmania (South) Transition Care Program,"Acute Health Services, 2.10 Murray Street",HOBART,TAS,7000,Southern,Transition Care,0,0,75,Tasmanian Health Service,State Government,Inner Regional Australia,2,61027,Hobart,60105,Hobart Inner,Hobart,62810,PHN601,Tasmania,-42.8806569999999,147.320905
Southern Cross Care Campbell Residential Aged Care,2 White Crescent,CAMPBELL,ACT,2612,ACT,Residential,42,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,81124,Campbell,80105,North Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.28875,149.153627
South Western Transitional Aged Care Service,"Liverpool Hospital Eastern Campus, 0 CORNER LACHLAN AND HART",LIVERPOOL,NSW,2170,South West Sydney,Transition Care,0,0,118,NSW State Government (NSW Ministry of Health),State Government,Major Cities of Australia,1,11598,Liverpool,12703,Liverpool,Liverpool,14900,PHN105,South Western Sydney,-33.9207579999999,150.917499999999
Northern Adelaide Local Health Network - Transition Care Program,207-255 Hampstead Road,NORTHFIELD,SA,5085,Metropolitan North,Transition Care,0,0,73,Department of Health and Wellbeing,State Government,Major Cities of Australia,1,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.856675,138.61804
Lifeview Willow Wood,135 Duff Street,CRANBOURNE,VIC,3977,Southern Metro,Residential,118,0,0,Farwell Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21304,Cranbourne West,21203,Casey - South,Casey,21610,PHN203,South Eastern Melbourne,-38.1023509999999,145.265376
Karlarra House,200 Forrest Circle,SOUTH HEDLAND,WA,6722,Pilbara,Residential,56,0,0,Western Australian Government,State Government,Remote Australia,6,51270,South Hedland,51002,East Pilbara,Port Hedland,57280,PHN503,Country WA,-20.4139839999999,118.595844999999
Murrumbidgee LHD Transitional Aged Care Program,19-31 Peter Street,WAGGA WAGGA,NSW,2650,Riverina/Murray,Transition Care,0,0,122,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,3,11270,Wagga Wagga - West,11303,Wagga Wagga,Wagga Wagga,17750,PHN110,Murrumbidgee,-35.1171769999999,147.368067999999
Ballarat Health Transition Care Program,"102 Ascot Street, South",BALLARAT,VIC,3350,Grampians,Transition Care,0,0,63,Department of Health,State Government,Inner Regional Australia,2,21002,Ballarat,20101,Ballarat,Ballarat,20570,PHN206,Western Victoria,-37.563631,143.843602
Bendigo Health Transition Care Program,Lucan Street,BENDIGO,VIC,3550,Loddon-Mallee,Transition Care,0,0,85,Department of Health,State Government,Inner Regional Australia,2,21018,Bendigo,20201,Bendigo,Greater Bendigo,22620,PHN205,Murray,-36.749391,144.284343
Arcare Lisarow The Orchards,15 The Ridgeway -,LISAROW,NSW,2250,Central Coast,Residential,120,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11036,Niagara Park - Lisarow,10201,Gosford,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3846089999999,151.375503
Hippocrates Aged Care Centre,30 CREBERT Street,MAYFIELD EAST,NSW,2304,Hunter,Residential,66,0,0,Fronditha Care,Community Based,Major Cities of Australia,1,11227,Mayfield - Warabrook,11103,Newcastle,Newcastle,15900,PHN108,Hunter New England and Central Coast,-32.895484,151.749493999999
Hillside at Figtree,190 Princes Highway,FIGTREE,NSW,2525,Illawarra,Residential,86,0,0,Hillside Brae Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11146,Figtree - Keiraville,10704,Wollongong,Wollongong,18450,PHN106,South Eastern NSW,-34.442995,150.852854
Uniting Berry,10 Victoria Street,BERRY,NSW,2535,Illawarra,Residential,106,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11272,Berry - Kangaroo Valley,11401,Shoalhaven,Shoalhaven,16950,PHN106,South Eastern NSW,-34.77911,150.684649
Bayswater Gardens,65-71 St Albans Street,ABBOTSFORD,NSW,2046,Inner West,Residential,110,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11386,Five Dock - Abbotsford,12001,Canada Bay,Canada Bay,11520,PHN101,Central and Eastern Sydney,-33.8510769999999,151.126388999999
Estia Health Tea Gardens,42 Spinifex Avenue,TEA GARDENS,NSW,2324,Mid North Coast,Residential,106,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,11124,Tea Gardens - Hawks Nest,10603,Port Stephens,Mid-Coast,15240,PHN108,Hunter New England and Central Coast,-32.6579229999999,152.142032999999
Calvary The Mariner,108-110 Gregory Street,SOUTH WEST ROCKS,NSW,2431,Mid North Coast,Residential,80,0,0,Calvary Aged Care Limited,Charitable,Inner Regional Australia,4,11160,South West Rocks,10802,Kempsey - Nambucca,Kempsey,14350,PHN109,North Coast,-30.894817,153.039974999999
Emily Gardens at the Rock,9 Emily Street,THE ROCK,NSW,2655,Riverina/Murray,Residential,30,0,0,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,5,11271,Wagga Wagga Region,11303,Wagga Wagga,Lockhart,14950,PHN110,Murrumbidgee,-35.274444,147.116726999999
Anthem,25 Retford Road,BOWRAL,NSW,2576,South West Sydney,Residential,125,0,0,TBG Senior Living Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,11284,Bowral,11402,Southern Highlands,Wingecarribee,18350,PHN105,South Western Sydney,-34.4890699999999,150.433627999999
Rutherford Park Care Community,4 Dietrich Close,RUTHERFORD,NSW,2320,Hunter,Residential,144,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11117,Maitland - West,10602,Maitland,Maitland,15050,PHN108,Hunter New England and Central Coast,-32.700211,151.507793999999
Uniting Eden,22 Barclay Street,EDEN,NSW,2551,Southern Highlands,Residential,85,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Outer Regional Australia,5,11023,Eden,10104,South Coast,Bega Valley,10550,PHN106,South Eastern NSW,-37.0571569999999,149.908379999999
Western NSW Transitional Aged Care Service,"UNIT 1, 77 MYALL STREET",DUBBO,NSW,2830,Orana Far West,Transition Care,0,0,74,NSW State Government (NSW Ministry of Health),State Government,Inner Regional Australia,3,11100,Dubbo - East,10503,Dubbo,Dubbo,12390,PHN107,Western NSW,-32.242392,148.625518
Aegis Ellenvale,Cnr Broadwater Blvd & Bell Dr -,BROADWATER,WA,6280,South West,Residential,140,0,0,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,51002,Busselton,50101,Augusta - Margaret River - Busselton,Busselton,51260,PHN503,Country WA,-33.6621579999999,115.266442999999
Karingal Green,"Karingal Green Estate, 53 Hawkevale Road",HIGH WYCOMBE,WA,6057,Metropolitan East,Residential,162,0,0,"Karingal Green Health, Aged and Community Care (WA) Pty Ltd",Private Incorporated Body,Major Cities of Australia,1,51139,High Wycombe,50605,Kalamunda,Kalamunda,54200,PHN501,Perth North,-31.934843,116.011424
Regents Garden Aubin Grove,248 Lyon Road,AUBIN GROVE,WA,6164,Metropolitan South West,Residential,102,0,0,Regents Garden Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51148,Banjup,50701,Cockburn,Cockburn,51820,PHN502,Perth South,-32.167735,115.860325
Mercy Place Mont Clare,9 DEAN Street,CLAREMONT,WA,6010,Metropolitan North,Residential,73,0,0,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,1,51031,Claremont (WA),50301,Cottesloe - Claremont,Claremont,51750,PHN501,Perth North,-31.983885,115.775226
Blue Care Redcliffe Aged Care Facility,85 -91 Anzac Avenue,REDCLIFFE,QLD,4020,Cabool,Residential,96,0,0,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,1,31379,Redcliffe,31305,Redcliffe,Moreton Bay,35010,PHN301,Brisbane North,-27.229863,153.106993999999
Southern Cross Care Stretton Gardens,209-225 Illaweena Street,DREWVALE,QLD,4116,Brisbane South,Residential,60,0,0,Southern Cross Care (QLD) Ltd,Religious,Major Cities of Australia,1,31075,Parkinson - Drewvale,30305,Rocklea - Acacia Ridge,Brisbane,31000,PHN302,Brisbane South,-27.641898,153.055532999999
Churches of Christ Little Mountain Aged Care Service,211 Parklands Boulevard,LITTLE MOUNTAIN,QLD,4551,Sunshine Coast,Residential,96,0,0,Churches of Christ in Queensland,Religious,Major Cities of Australia,1,31420,Caloundra - West,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.775492,153.102944
Estia Health Nambour,27 Glenbrook Drive,NAMBOUR,QLD,4560,Sunshine Coast,Residential,75,0,0,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31548,Nambour,31607,Nambour,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.616111,152.94423
Bolton Clarke Buderim Views,383 Mooloolaba Road,BUDERIM,QLD,4556,Sunshine Coast,Residential,120,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,31413,Buderim - North,31601,Buderim,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.678106,153.091441
Merrimac Park Private Care,50-52 Macadie Way,MERRIMAC,QLD,4226,South Coast,Residential,96,0,0,Superior Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31260,Merrimac,30908,Robina,Gold Coast,33430,PHN303,Gold Coast,-28.0472469999999,153.372125
WA Country Health Service - Midwest Transition Care Service,"WACHS - Geraldton Hospital, 51-85 Shenton Street",GERALDTON,WA,6530,Mid West,Transition Care,0,0,15,Government of Western Australia,State Government,Outer Regional Australia,3,51285,Geraldton,51104,Mid West,Greater Geraldton,53800,PHN503,Country WA,-28.7836399999999,114.611292
WA Country Health Service - Great Southern Transition Care Service,91 Seymour Street,ALBANY,WA,6330,Great Southern,Transition Care,0,0,10,Government of Western Australia,State Government,Outer Regional Australia,3,51225,Albany,50901,Albany,Albany,50080,PHN503,Country WA,-35.0107339999999,117.902296
Camberwell Gables Care Community,629 Riversdale Road,CAMBERWELL,VIC,3124,Eastern Metro,Residential,95,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21149,Camberwell,20701,Boroondara,Boroondara,21110,PHN202,Eastern Melbourne,-37.832379,145.066984999999
Oaklands Park Lodge Residential Care,393 Morphett Road,OAKLANDS PARK,SA,5046,Metropolitan South,Residential,70,0,0,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.006632,138.540818999999
Townsville Transition Care Service,Vincent Campus 59 Cambridge Street,VINCENT,QLD,4814,Northern,Transition Care,0,0,46,Queensland Health,State Government,Outer Regional Australia,2,31476,Gulliver - Currajong - Vincent,31802,Townsville,Townsville,37010,PHN307,Northern Queensland,-19.281379,146.767078999999
Barossa Park Lodge,17 a Clydesdale Avenue,GLENORCHY,TAS,7010,Southern,Residential,136,0,0,OneCare Limited,Charitable,Inner Regional Australia,2,61017,Glenorchy,60103,Hobart - North West,Glenorchy,62610,PHN601,Tasmania,-42.8398329999999,147.273213999999
Bupa Kyneton,2 Edgecombe Street,KYNETON,VIC,3444,Loddon-Mallee,Residential,93,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,21030,Kyneton,20202,Heathcote - Castlemaine - Kyneton,Macedon Ranges,24130,PHN205,Murray,-37.257274,144.461808999999
Bolton Clarke Newmans on the Park,33 Newmans Road,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,108,0,0,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,21159,Templestowe,20702,Manningham - West,Manningham,24210,PHN202,Eastern Melbourne,-37.7517309999999,145.153009999999
Mercy Place Parkville,1 William Street,PARKVILLE,VIC,3052,Western Metro,Residential,140,0,0,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,1,21124,Parkville,20604,Melbourne City,Melbourne,24600,PHN201,North Western Melbourne,-37.776685,144.938936
Bupa Clayton,12 BURTON Avenue,CLAYTON,VIC,3168,Eastern Metro,Residential,155,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21320,Clayton,21205,Monash,Monash,24970,PHN202,Eastern Melbourne,-37.9266179999999,145.116016
